Date,Open,High,Low,Close*,Adj Close**,Volume
9-Nov-23,219.75,220.8,207.02,208.72,208.72,"90,068,559"
8-Nov-23,223.15,224.15,217.64,222.11,222.11,"106,380,700"
7-Nov-23,219.98,223.12,215.72,222.18,222.18,"116,900,100"
6-Nov-23,223.98,226.32,215,219.27,219.27,"117,335,800"
3-Nov-23,221.15,226.37,218.4,219.96,219.96,"119,281,000"
2-Nov-23,212.97,219.2,211.45,218.51,218.51,"125,987,600"
1-Nov-23,204.04,205.99,197.85,205.66,205.66,"121,661,700"
31-Oct-23,196.12,202.8,194.07,200.84,200.84,"118,068,300"
30-Oct-23,209.28,210.88,194.67,197.36,197.36,"136,448,200"
27-Oct-23,210.6,212.41,205.77,207.3,207.3,"94,881,200"
26-Oct-23,211.32,214.8,204.88,205.76,205.76,"115,112,600"
25-Oct-23,215.88,220.1,212.2,212.42,212.42,"107,065,100"
24-Oct-23,216.5,222.05,214.11,216.52,216.52,"118,231,100"
23-Oct-23,210,216.98,202.51,212.08,212.08,"150,683,400"
20-Oct-23,217.01,218.86,210.42,211.99,211.99,"137,734,000"
19-Oct-23,225.95,230.61,216.78,220.11,220.11,"170,772,700"
18-Oct-23,252.7,254.63,242.08,242.68,242.68,"125,147,800"
17-Oct-23,250.1,257.18,247.08,254.85,254.85,"93,562,900"
16-Oct-23,250.05,255.4,248.48,253.92,253.92,"88,917,200"
13-Oct-23,258.9,259.6,250.22,251.12,251.12,"102,073,800"
12-Oct-23,262.92,265.41,256.63,258.87,258.87,"111,508,100"
11-Oct-23,266.2,268.6,260.9,262.99,262.99,"103,706,300"
10-Oct-23,257.75,268.94,257.65,263.62,263.62,"122,656,000"
9-Oct-23,255.31,261.36,252.05,259.67,259.67,"101,377,900"
6-Oct-23,253.98,261.65,250.65,260.53,260.53,"117,947,000"
5-Oct-23,260,263.6,256.25,260.05,260.05,"119,159,200"
4-Oct-23,248.14,261.86,247.6,261.16,261.16,"129,721,600"
3-Oct-23,248.61,250.02,244.45,246.53,246.53,"101,985,300"
2-Oct-23,244.81,254.28,242.62,251.6,251.6,"123,810,400"
29-Sep-23,250,254.77,246.35,250.22,250.22,"128,346,200"
28-Sep-23,240.02,247.55,238.65,246.38,246.38,"117,058,900"
27-Sep-23,244.26,245.33,234.58,240.5,240.5,"136,597,200"
26-Sep-23,242.98,249.55,241.66,244.12,244.12,"101,993,600"
25-Sep-23,243.38,247.1,238.31,246.99,246.99,"104,636,600"
22-Sep-23,257.4,257.79,244.48,244.88,244.88,"127,524,100"
21-Sep-23,257.85,260.86,254.21,255.7,255.7,"119,531,000"
20-Sep-23,267.04,273.93,262.46,262.59,262.59,"122,514,600"
19-Sep-23,264.35,267.85,261.2,266.5,266.5,"103,704,000"
18-Sep-23,271.16,271.44,263.76,265.28,265.28,"101,543,300"
15-Sep-23,277.55,278.98,271,274.39,274.39,"133,422,800"
14-Sep-23,271.32,276.71,270.42,276.04,276.04,"107,709,800"
13-Sep-23,270.07,274.98,268.1,271.3,271.3,"111,673,700"
12-Sep-23,270.76,278.39,266.6,267.48,267.48,"135,999,900"
11-Sep-23,264.27,274.85,260.61,273.58,273.58,"174,667,900"
8-Sep-23,251.22,256.52,246.67,248.5,248.5,"118,367,700"
